project_id,title,description,domain,difficulty,status,github_repo
PRJ001,AI Knowledge Graph Platform,Daughter respond draw how public feel first sell authority leader your.,Natural Language Processing,Beginner,Completed,https://github.com/ezitech/ai-knowledge-graph-platform
PRJ002,Smart Attendance System,Available defense enter value thing these hard citizen.,Artificial Intelligence,Intermediate,Ongoing,https://github.com/ezitech/smart-attendance-system
PRJ003,OCR Document Scanner,Region particularly would pressure account stage federal professional voice care break blood network evening painting.,Web Development,Advanced,Ongoing,https://github.com/ezitech/ocr-document-scanner
PRJ004,Internship Management Portal,Data plant enough major town suffer begin interest everybody about side PM.,Computer Vision,Intermediate,Ongoing,https://github.com/ezitech/internship-management-portal
PRJ005,AI Resume Analyzer,Claim kind relationship night born war real chance along hard need.,Computer Vision,Advanced,Ongoing,https://github.com/ezitech/ai-resume-analyzer
PRJ006,Library Management System,Camera final together someone team together decide economic bill sister this image per.,Machine Learning,Advanced,Completed,https://github.com/ezitech/library-management-system
PRJ007,Student Performance Dashboard,Understand door class son computer include conference under site.,Data Science,Advanced,Completed,https://github.com/ezitech/student-performance-dashboard
PRJ008,Medical Chatbot,Soon ten specific environment skin blue the teach develop staff least figure somebody.,Data Science,Advanced,Completed,https://github.com/ezitech/medical-chatbot
PRJ009,E-Commerce Recommendation Engine,Development process huge everything attorney significant go meeting quickly such.,Computer Vision,Intermediate,Ongoing,https://github.com/ezitech/e-commerce-recommendation-engine
PRJ010,Fraud Detection System,Voice boy wife condition while enter board its rock finish paper memory.,Natural Language Processing,Advanced,Completed,https://github.com/ezitech/fraud-detection-system
PRJ011,Face Recognition Attendance,Tonight couple and job mind southern rather vote say culture issue we TV.,Machine Learning,Intermediate,Completed,https://github.com/ezitech/face-recognition-attendance
PRJ012,Hospital Management System,Finish summer rest feel finally impact I fast camera inside wait quality total past feeling nature.,Computer Vision,Beginner,Ongoing,https://github.com/ezitech/hospital-management-system
PRJ013,Learning Resource Recommendation,Fight decision size parent focus kid put.,Web Development,Intermediate,Completed,https://github.com/ezitech/learning-resource-recommendation
PRJ014,Job Portal,List top somebody college be middle plan friend stand seem pull different current agency each.,Computer Vision,Advanced,Ongoing,https://github.com/ezitech/job-portal
PRJ015,AI Career Guidance System,Particularly shoulder lay though offer responsibility himself hundred challenge reach throughout team those sing.,Computer Vision,Advanced,Ongoing,https://github.com/ezitech/ai-career-guidance-system
PRJ016,Customer Support Chatbot,Compare when military anyone eat summer lead soon property write.,Web Development,Advanced,Ongoing,https://github.com/ezitech/customer-support-chatbot
PRJ017,Inventory Management System,Fish sense kind spring throughout interview trade knowledge city technology late seem style everyone sing machine.,Computer Vision,Intermediate,Completed,https://github.com/ezitech/inventory-management-system
PRJ018,Expense Tracker,Ever back experience even floor music catch discuss really relationship.,Computer Vision,Advanced,Ongoing,https://github.com/ezitech/expense-tracker
PRJ019,Weather Prediction System,Increase former letter artist strategy hope show watch.,Machine Learning,Advanced,Ongoing,https://github.com/ezitech/weather-prediction-system
PRJ020,Project Management Dashboard,Task she herself accept goal send table.,Data Science,Intermediate,Ongoing,https://github.com/ezitech/project-management-dashboard
